trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
Insulin-related traits	22791750	2012-07-12	0	0	927	927	927	3
Insulin-related traits (multivariate analysis)	32002517	2020-01-24	0	0	62205	62205	62205	23
Insulinogenic index	23263489	2012-12-23	0	0	8229	8229	8229	4
Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes	21829393	2011-08-04	2498	0	0	2498	2498	1
Intake of total sugars	31005972	2019-04-21	0	0	174424	174424	174424	1
Intelligence	22449649	2012-02-28	0	0	656	656	656	3
Intelligence	28530673	2017-05-22	0	0	78308	78308	78308	31
Intelligence	29942086	2018-06-25	0	0	269867	269867	269867	524
Intelligence (MTAG)	29326435	2018-01-11	0	0	248482	248482	248482	645
Intercellular adhesion molecule 1 (red blood cell fatty acid level interaction)	28820441	2017-08-19	0	0	2703	2703	2703	1
Interferon alpha levels in systemic lupus erythematosus	25338677	2014-10-23	410	0	0	410	410	1
Interferon gamma levels	27989323	2016-12-13	0	0	7701	7701	7701	1
Interferon gamma-induced protein 10 levels	27989323	2016-12-13	0	0	3685	3685	3685	4
Interferon gamma-induced protein 10 levels	31217265	2019-06-19	0	0	13577	13577	13577	1
Interleukin-1-beta levels	31217265	2019-06-19	0	0	13577	13577	13577	2
Interleukin-10 levels	22205395	2011-12-29	0	0	704	704	704	7
Interleukin-10 levels	27989323	2016-12-13	0	0	7681	7681	7681	3
Interleukin-12p70 levels	27989323	2016-12-13	0	0	8270	8270	8270	5
Interleukin-13 levels	27989323	2016-12-13	0	0	3557	3557	3557	1
Interleukin-16 levels	27989323	2016-12-13	0	0	3483	3483	3483	3
Interleukin-17 levels	27989323	2016-12-13	0	0	7760	7760	7760	1
Interleukin-18 levels	20150558	2010-02-11	0	0	1523	1523	1523	2
Interleukin-18 levels	27989323	2016-12-13	0	0	3636	3636	3636	12
Interleukin-18 levels	31584380	2019-10-04	0	0	4433	4433	4433	3
Interleukin-2 receptor antagonist levels	27989323	2016-12-13	0	0	3677	3677	3677	2
Interleukin-5 levels	27989323	2016-12-13	0	0	3364	3364	3364	1
Interleukin-6 (red blood cell fatty acid level interaction)	28820441	2017-08-19	0	0	2703	2703	2703	2
Interleukin-6 levels	22205395	2011-12-29	0	0	697	697	697	1
Interleukin-6 receptor subunit alpha levels	25147954	2014-08-22	0	0	653	653	653	1
Interleukin-7 levels	27989323	2016-12-13	0	0	3409	3409	3409	2
Interstitial lung abnormalities	31339356	2019-07-24	1699	10274	0	11973	5831.629833792701	6
Interstitial lung disease	23583980	2013-04-14	1161	4683	0	5844	3721.3983572895277	11
Intertrochanteric region size	31053729	2019-05-03	0	0	28936	28936	28936	6
Intra-individual response time variability (selective attention)	30287865	2018-10-04	0	0	857	857	857	2
Intracerebral hemorrhage	24656865	2014-03-18	1545	1481	0	3026	3024.6463978849965	1
Intracranial aneurysm	18997786	2008-11-09	1580	6276	0	7856	5048.920570264766	4
Intracranial aneurysm	20364137	2010-04-04	2780	12515	0	15295	9098.842759071591	5
Intracranial aneurysm	22286173	2012-01-27	1383	5484	0	6867	4417.86631716907	1
Intracranial aneurysm	22961961	2012-09-06	1483	1683	0	3166	3153.365761212887	1
Intracranial aneurysm	25256182	2014-09-25	2617	2548	0	5165	5164.0782187802515	2
Intracranial aneurysm	29531279	2018-03-12	173	1772	0	1945	630.4493573264781	1
Intracranial aneurysm	30823506	2019-02-25	250	296	0	546	542.1245421245421	29
Intracranial volume	22504418	2012-04-15	0	0	8175	8175	8175	2
Intracranial volume	30818988	2019-03-01	0	0	24024	24024	24024	6
Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	27418160	2016-07-14	3094	9507	0	12601	9337.245615427348	4
Intraocular pressure	22570627	2012-05-03	0	0	11972	11972	11972	2
Intraocular pressure	23836780	2013-07-07	0	0	2175	2175	2175	1
Intraocular pressure	25173106	2014-08-31	0	0	35296	35296	35296	8
Intraocular pressure	25637523	2015-01-30	0	0	8015	8015	8015	4
Intraocular pressure	28073927	2017-01-10	0	0	29578	29578	29578	15
Intraocular pressure	29235454	2017-12-13	0	0	69756	69756	69756	51
Intraocular pressure	29617998	2018-03-28	0	0	115486	115486	115486	320
Intraocular pressure	29785010	2018-05-21	0	0	139555	139555	139555	130
Intraocular pressure	30054594	2018-07-27	0	0	133492	133492	133492	106
Intraocular pressure	30591961	2018-12-24	0	0	5571	5571	5571	20
Intraocular pressure	31798171	2019-11-27	0	0	31269	31269	31269	10
Intraocular pressure	31959993	2020-01-20	0	0	133492	133492	133492	71
Intraocular pressure and central corneal thickness (multi-trait analysis)	31798171	2019-11-27	0	0	31269	31269	31269	4
Intrinsic epigenetic age acceleration	29374233	2018-01-26	0	0	8393	8393	8393	6
Intrinsic epigenetic age acceleration	31738745	2019-11-18	0	0	13493	13493	13493	10
Invasive epithelial ovarian cancer	28346442	2017-03-27	22406	40941	0	63347	57923.7561999779	13
Iris characteristics	21835309	2011-08-12	0	0	2121	2121	2121	3
Iris color	18252221	2008-01-24	0	0	1406	1406	1406	1
Iris color (L* coordinate)	30895295	2019-03-21	0	0	329	329	329	2
Iris color (a* coordinate)	29109912	2017-11-02	0	0	377	377	377	1
Iris color (a* coordinate)	30895295	2019-03-21	0	0	329	329	329	1
Iris color (b* coordinate)	29109912	2017-11-02	0	0	377	377	377	1
Iris color (b* coordinate)	30895295	2019-03-21	0	0	329	329	329	1
Iris heterochromicity	30895295	2019-03-21	0	0	329	329	329	1
Iron levels	19880490	2009-10-30	0	0	1919	1919	1919	1
Iron status biomarkers	19084217	2008-12-17	0	0	561	561	561	6
Iron status biomarkers	19820699	2009-10-11	0	0	4818	4818	4818	2
Iron status biomarkers	21149283	2010-12-10	0	0	6616	6616	6616	5
Iron status biomarkers	21208937	2011-01-04	0	0	5633	5633	5633	4
Iron status biomarkers	21483845	2011-03-31	336	343	0	679	678.9278350515465	3
Iron status biomarkers	25224454	2014-09-15	0	0	2347	2347	2347	2
Iron status biomarkers (ferritin levels)	25352340	2014-10-29	0	0	23986	23986	23986	5
Iron status biomarkers (ferritin levels)	28334935	2017-05-15	0	0	12375	12375	12375	2
Iron status biomarkers (iron levels)	25352340	2014-10-29	0	0	23986	23986	23986	5
Iron status biomarkers (iron levels)	28334935	2017-05-15	0	0	12580	12580	12580	7
Iron status biomarkers (total iron binding capacity)	28334935	2017-05-15	0	0	12586	12586	12586	16
Iron status biomarkers (transferrin levels)	25352340	2014-10-29	0	0	23986	23986	23986	9
Iron status biomarkers (transferrin saturation)	25352340	2014-10-29	0	0	23986	23986	23986	5
Iron status biomarkers (transferrin saturation)	28334935	2017-05-15	0	0	12589	12589	12589	12
Irritable bowel syndrome	29626450	2018-04-04	9576	336499	0	346075	37244.116726143184	2
Irritable mood	29500382	2018-03-02	0	0	366726	366726	366726	67
Ischemic stroke	24262325	2013-11-21	12389	62004	0	74393	41303.21702310701	1
Ischemic stroke	26089329	2015-06-18	1365	13154	0	14519	4946.6795233831535	1
Ischemic stroke	26708676	2015-12-18	16851	32473	0	49324	44376.16762630768	3
Ischemic stroke	26732560	2016-01-05	3626	21968	0	25594	12449.16277252481	1
Ischemic stroke	27997041	2016-12-20	10210	12285	0	22495	22303.5963547455	2
Ischemic stroke	29531354	2018-03-12	34217	406111	0	440328	126232.26401228174	26
Ischemic stroke (cardioembolic)	26708676	2015-12-18	3726	32473	0	36199	13369.916075029696	2
Ischemic stroke (cardioembolic)	27068588	2016-04-07	602	80613	0	81215	2390.1508834574893	1
Ischemic stroke (cardioembolic)	29531354	2018-03-12	9006	457184	0	466190	35328.07742765825	7
Ischemic stroke (large artery atherosclerosis)	26708676	2015-12-18	2715	32473	0	35188	10022.075139252018	2
Ischemic stroke (large artery atherosclerosis)	26732560	2016-01-05	681	21969	0	22650	2642.099602649007	3
Ischemic stroke (large artery atherosclerosis)	29531354	2018-03-12	6688	457184	0	463872	26366.295805739515	8
Ischemic stroke (small artery occlusion)	26708676	2015-12-18	3185	32473	0	35658	11602.053396152336	1
Ischemic stroke (small-vessel)	29531354	2018-03-12	11710	243735	0	255445	44692.78083344751	1
Ischemic stroke (undetermined subtype)	26708676	2015-12-18	9510	32473	0	41983	29423.169378081606	1
Isovolumetric relaxation time	28394258	2017-04-10	0	0	21852	21852	21852	1
Isthmus-cingulate cortex volume	31530798	2019-09-17	483	294	0	777	731.0270270270271	1
Itch intensity from mosquito bite	28199695	2017-04-01	0	0	84724	84724	84724	57
Itch intensity from mosquito bite adjusted by bite size	28199695	2017-04-01	0	0	84724	84724	84724	78
JT interval (sulfonylurea treatment interaction)	27958378	2016-12-13	0	0	71857	71857	71857	5
Job-related exhaustion in shift workers	28364478	2016-10-10	0	0	176	176	176	1
Joint damage in rheumatoid arthritis	31596875	2019-10-09	0	0	2775	2775	2775	1
Joint damage progression in ACPA-negative rheumatoid arthritis	26077402	2015-06-15	262	0	0	262	262	1
Joint mobility (Beighton score)	27182965	2016-05-16	0	0	64143	64143	64143	14
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	23603761	2013-04-21	2816	13056	0	15872	9265.548387096775	21
Juvenile myoclonic epilepsy	30531953	2018-12-10	1177	4218	0	5395	3680.879332715477	1
KANNO antigen negativity	31020675	2019-04-24	4	415	0	419	15.8472553699284	1
Kashin-Beck disease	25303641	2014-09-25	90	1627	0	1717	341.1298776936517	1
Kawasaki disease	22081228	2011-11-13	405	6252	0	6657	1521.4420910319964	2
Kawasaki disease	22446961	2012-03-25	622	1107	0	1729	1592.9531521110468	2
Kawasaki disease	22446962	2012-03-25	428	3379	0	3807	1519.529288153402	5
Keloid	20711176	2010-08-15	178	906	0	1084	595.0848708487084	3
Keratinocyte cancer (MTAG)	31174203	2019-06-07	18538	340302	0	358840	70321.24039683424	78
Keratoconus	31855235	2019-12-19	522	655	0	1177	1161.9711129991504	1
Ketonuria	30476138	2019-04-01	41130	0	95568	136698	136698	1
Ketonuria (moderate to severe)	30476138	2019-04-01	21803	0	95568	117371	117371	1
Kidney disease (end stage renal disease or albuminuria) in type 1 diabetes	31537649	2019-09-19	7247	12053	0	19300	18103.231295336787	1
Kidney disease (end stage renal disease vs macroalbuminuria) in type 1 diabetes	31537649	2019-09-19	2187	2725	0	4912	4853.074104234528	1
Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes	31537649	2019-09-19	2187	17219	0	19406	7762.1257343089765	1
Kidney disease (reduced eGFR and albuminuria or end stage renal disease) in type 1 diabetes	31537649	2019-09-19	2987	11766	0	14753	9528.92076187894	1
Kidney function decline traits	25493955	2014-12-10	0	0	45530	45530	45530	2
Kidney stones	19561606	2009-06-28	1507	34033	0	35540	5772.395160382667	1
Kidney stones	26272126	2015-08-14	5149	0	279870	285019	285019	4
Kidney stones	31729369	2019-11-15	6536	388508	0	395044	25711.447717216313	31
Knee osteoarthritis	20305777	2010-03-18	899	3396	0	4295	2843.3098952270084	1
Knee osteoarthritis	28916551	2017-09-15	742	475	0	1217	1158.4223500410847	1
Knee osteoarthritis	30374069	2018-10-29	23877	562153	0	586030	91616.65567291777	6
Knee osteoarthritis	30664745	2019-01-21	24955	378169	0	403124	93640.73977237774	12
Knee pain	31482140	2019-08-28	22204	149312	0	171516	77318.11954569836	4
L-arginine levels	25245031	2014-09-21	0	0	6739	6739	6739	1
L-arginine levels	27656708	2016-09-22	0	0	2295	2295	2295	2
LDL (oxidized)	23247145	2012-12-17	0	0	2080	2080	2080	1
LDL cholesterol	18179892	2008-01-10	0	0	1955	1955	1955	1
LDL cholesterol	18193043	2008-01-13	0	0	8589	8589	8589	7
LDL cholesterol	18193044	2008-01-13	0	0	2758	2758	2758	7
LDL cholesterol	18262040	2008-02-09	0	0	11685	11685	11685	3
LDL cholesterol	18802019	2008-09-18	0	0	2346	2346	2346	1
LDL cholesterol	19060906	2008-12-07	0	0	19840	19840	19840	11
LDL cholesterol	19060910	2008-12-07	0	0	4763	4763	4763	3
LDL cholesterol	19060911	2008-12-07	0	0	17797	17797	17797	9
LDL cholesterol	20686565	2010-08-05	0	0	95454	95454	95454	37
LDL cholesterol	20864672	2010-09-23	0	0	17723	17723	17723	8
LDL cholesterol	21059979	2010-11-08	0	0	841	841	841	2
LDL cholesterol	21347282	2011-02-10	0	0	7565	7565	7565	3
LDL cholesterol	23067351	2012-08-23	0	0	1249	1249	1249	1
LDL cholesterol	23726366	2013-05-29	0	0	11286	11286	11286	5
LDL cholesterol	24097068	2013-10-06	0	0	94595	94595	94595	56
LDL cholesterol	24507774	2014-02-01	0	0	56538	56538	56538	5
LDL cholesterol	25961943	2015-05-11	0	0	62166	62166	62166	41
LDL cholesterol	26160806	2015-08-01	0	0	3681	3681	3681	2
LDL cholesterol	26582766	2015-11-18	0	0	8344	8344	8344	5
LDL cholesterol	26780889	2016-01-19	0	0	4383	4383	4383	4
LDL cholesterol	27036123	2016-04-01	0	0	48780	48780	48780	23
LDL cholesterol	30275531	2018-10-01	0	0	297626	297626	297626	125
LDL cholesterol levels	17463246	2007-04-26	0	2603	0	2603	2603	1
LDL cholesterol levels	26690388	2015-12-22	0	0	12685	12685	12685	5
LDL cholesterol levels	28334899	2017-02-21	0	0	205367	205367	205367	71
LDL cholesterol levels	28371326	2017-03-30	862	880	0	1742	1741.814006888634	2
LDL cholesterol levels	30698716	2019-01-29	0	0	127326	127326	127326	60
LDL cholesterol levels	30926973	2019-03-29	0	0	125692	125692	125692	45
LDL cholesterol levels	31675503	2019-10-01	0	0	14126	14126	14126	5
LDL cholesterol levels in current drinkers	30698716	2019-01-29	0	0	71394	71394	71394	85
LDL cholesterol levels in current smokers	30926973	2019-03-29	0	0	21902	21902	21902	1
LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)	30698716	2019-01-29	0	0	127326	127326	127326	141
LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)	30698716	2019-01-29	0	0	71394	71394	71394	131
LDL cholesterol levels x long total sleep time interaction (2df test)	31719535	2019-11-12	0	49548	12000	61548	61548	59
LDL cholesterol levels x loop diuretics use interaction	31806883	2019-12-06	0	0	38834	38834	38834	1
LDL cholesterol levels x short total sleep time interaction (2df test)	31719535	2019-11-12	0	48790	12758	61548	61548	70
LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	30926973	2019-03-29	0	0	125641	125641	125641	1
LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	30926973	2019-03-29	0	0	125641	125641	125641	4
LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	30926973	2019-03-29	0	0	125637	125637	125637	1
LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	30926973	2019-03-29	0	0	125637	125637	125637	2
LDL cholesterol to HDL cholesterol ratio	28046027	2017-01-03	0	0	5292	5292	5292	2
LDL cholesterol x physical activity interaction (2df test)	30670697	2019-01-22	0	0	109688	109688	109688	39
Lactate dehydrogenase levels	26838040	2016-02-03	0	0	98585	98585	98585	15
Lactate dehydrogenase levels	29403010	2018-02-05	0	0	126319	126319	126319	14
Lactate dehydrogenase levels in off-statin users	26838040	2016-02-03	0	0	6877	6877	6877	3
Lactate dehydrogenase levels in statin users	26838040	2016-02-03	0	0	6266	6266	6266	1
Language performance in older adults (adjusted for episodic memory)	28577822	2017-05-31	0	0	1560	1560	1560	1
Lapatinib-induced hepatotoxicity	25987243	2015-05-19	1258	0	0	1258	1258	3
Large HDL particle concentration	29084231	2017-10-30	0	0	8372	8372	8372	14
Large LDL particle concentration	29084231	2017-10-30	0	0	8372	8372	8372	7
Large artery stroke	24262325	2013-11-21	2167	49159	0	51326	8302.034290612944	1
Large artery stroke	27997041	2016-12-20	1877	12285	0	14162	6512.906369156899	1
Large artery stroke	28265093	2017-03-06	2662	9862	0	12524	8384.747365059085	1
Laryngeal squamous cell carcinoma	25194280	2014-09-07	993	1995	0	2988	2651.987951807229	3
Late-onset Alzheimer's disease	27770636	2016-10-20	1825	3784	0	5609	4924.799429488323	2
Late-onset Alzheimer's disease	29360470	2018-01-19	966	977	0	1943	1942.9377251672672	1
Late-onset myasthenia gravis	26562150	2015-10-10	532	2128	0	2660	1702.4	6
Latent autoimmune diabetes	30254083	2018-09-25	2634	5947	0	8581	7301.898613215242	1
Latent autoimmune diabetes vs. type 1 diabetes	30254083	2018-09-25	3423	0	0	3423	3423	1
Latent autoimmune diabetes vs. type 2 diabetes	30254083	2018-09-25	13177	0	0	13177	13177	4
Lateral ventricle temporal horn volume	31530798	2019-09-17	483	294	0	777	731.0270270270271	5
Lateral ventricle volume	31530798	2019-09-17	483	294	0	777	731.0270270270271	1
Lateral ventricular volume in normal aging	30258056	2018-09-26	0	0	23533	23533	23533	7
Laterality in neovascular age-related macular degeneration	28775256	2017-08-03	1124	0	0	1124	1124	2
Lead levels in blood	25820613	2015-03-27	0	0	5433	5433	5433	2
Lean body mass	28552196	2017-06-01	0	0	15200	15200	15200	3
Lean body mass	28724990	2017-07-19	0	0	38292	38292	38292	4
Lean mass index	32193455	2020-03-19	0	0	2207	2207	2207	1
Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction)	25140149	2014-08-04	496	194	0	690	557.8202898550725	3
Left planum temporale grey matter volume	31887566	2019-11-29	0	0	18037	18037	18037	1
Left ventricle diastolic internal dimension	28394258	2017-04-10	0	0	30201	30201	30201	2
Left ventricular ejection fraction	31554410	2019-09-25	0	0	16923	16923	16923	1
Left ventricular internal dimension in diastole	29403010	2018-02-05	0	0	19676	19676	19676	3
Left ventricular internal dimension in systole	29403010	2018-02-05	0	0	19586	19586	19586	4
Left ventricular obstructive tract defect (inherited effect)	28468790	2017-06-01	0	0	509	509	509	1
Leishmaniasis (visceral)	23291585	2013-01-06	1346	1089	1613	4048	2407.875154004107	1
Leisure-time exercise behaviour	30102679	2018-08-10	1789	12191	0	13980	6240.25722460658	1
Length of menstrual cycle	26732621	2016-01-04	0	0	9534	9534	9534	2
Length of menstrual cycle	30202859	2018-09-07	0	0	44871	44871	44871	5
Lentiform nucleus volume	22903471	2012-08-18	508	198	1003	1709	569.8810198300283	1
Leprosy	20018961	2009-12-16	706	1225	0	1931	1791.5069911962712	6
Leprosy	22019778	2011-10-23	706	5581	0	6287	2506.878320343566	3
Leprosy	25642632	2015-02-02	1548	2150	4362	8060	3600.0	18
Leprosy	27976721	2016-12-15	2743	3573	0	6316	6206.927802406586	9
Leukocyte count in ischemic stroke	31587654	2019-10-07	0	0	2064	2064	2064	1
Leukocyte telomere length	31171785	2019-06-06	0	0	16759	16759	16759	22
Leukocyte telomere length	32109421	2020-02-20	0	0	78592	78592	78592	21
Lewy body disease	25188341	2014-09-04	0	0	3526	3526	3526	3
Life satisfaction	27089181	2016-04-18	0	0	166205	166205	166205	2
Life satisfaction	30643256	2019-01-14	0	0	80852	80852	80852	148
Lifespan	25918517	2015-04-13	0	0	679	679	679	6
Lifetime anxiety disorder	31748690	2019-11-20	25453	58113	0	83566	70801.53119689827	5
Lifetime smoking index	31689377	2019-11-06	0	0	462690	462690	462690	126
Light vs. dark hair color	26184321	2015-07-13	0	0	7091	7091	7091	7
Limited cutaneous systemic scleroderma	24387989	2014-01-02	1127	3466	0	4593	3401.856738515132	2
Limited cutaneous systemic scleroderma	29293537	2018-01-02	1169	3726	0	4895	3559.3005107252297	6
Lipid levels in hepatitis C treatment	22497812	2012-02-22	1319	0	0	1319	1319	1
Lipid metabolism phenotypes	19936222	2009-11-20	0	0	17296	17296	17296	73
Lipid metabolism phenotypes	22286219	2012-01-29	0	0	8330	8330	8330	18
Lipid or lipoprotein levels	23696881	2013-05-16	0	0	1206	1206	1206	6
Lipid traits	22028671	2011-10-20	0	0	32225	32225	32225	1
Lipid traits	24023260	2013-09-10	0	0	1782	1782	1782	6
Lipid traits	24023261	2013-09-10	0	0	839	839	839	3
Lipid traits	24386095	2013-12-30	0	0	3451	3451	3451	11
Lipid traits	30576415	2019-08-01	0	0	1225	1225	1225	8
Lipid traits (pleiotropy) (HIPO component 1)	30289880	2018-10-05	0	0	188577	188577	188577	20
Lipid traits (pleiotropy) (HIPO component 2)	30289880	2018-10-05	0	0	188577	188577	188577	4
Lipoprotein (a) - cholesterol levels	25575512	2015-01-09	0	0	1376	1376	1376	15
Lipoprotein (a) levels	26377243	2015-09-17	0	0	2895	2895	2895	18
Lipoprotein (a) levels	28512139	2017-05-16	0	0	13781	13781	13781	41
Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	31186284	2019-06-11	0	0	1402	1402	1402	3
Lipoprotein (a) levels in response to niacin in statin-treated individuals	30371334	2018-10-01	1034	1020	0	2054	2053.904576436222	1
Lipoprotein phospholipase A2 activity in cardiovascular disease	28753643	2017-07-28	0	0	22156	22156	22156	14
Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms	28512139	2017-05-16	0	0	13781	13781	13781	27
Lipoprotein-associated phospholipase A2 activity and mass	20442857	2010-04-29	0	0	6668	6668	6668	5
Lipoprotein-associated phospholipase A2 activity and mass	22003152	2011-10-14	0	0	13664	13664	13664	7
Lipoprotein-associated phospholipase A2 activity and mass	23118302	2012-11-01	0	0	6851	6851	6851	7
Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	28753643	2017-07-28	0	0	10874	10874	10874	3
Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	23118302	2012-11-01	2673	2656	0	5329	5328.945768436855	2
Liver disease biomarker	30576415	2019-08-01	0	0	1225	1225	1225	1
Liver enzyme levels	18940312	2008-10-10	0	0	7751	7751	7751	10
Liver enzyme levels (alanine transaminase)	22001757	2011-10-16	0	0	61089	61089	61089	4
Liver enzyme levels (alkaline phosphatase)	22001757	2011-10-16	0	0	61089	61089	61089	14
Liver enzyme levels (gamma-glutamyl transferase)	22001757	2011-10-16	0	0	61089	61089	61089	26
Liver fibrosis in non-alcoholic fatty acid liver disease	31311600	2019-07-17	0	0	235	235	235	2
Liver fibrosis severity in HIV/hepatitis C co-infection	27339598	2016-07-29	289	0	0	289	289	2
Liver injury in anti-tuberculosis drug treatment	31109976	2019-05-20	79	239	0	318	237.49685534591197	1
Liver transplant-free survival in primary sclerosing cholangitis (time to event)	28779025	2017-08-04	3318	0	0	3318	3318	1
Lobar intracerebral hemorrhage	31430377	2019-08-20	755	1711	0	2466	2095.3852392538524	1
Lobe attachment	26105758	2015-06-24	0	0	4919	4919	4919	2
Lobe attachment (rater scored)	29198719	2017-11-30	0	0	9710	9710	9710	10
Lobe attachment (rater-scored or self-reported)	29198719	2017-11-30	0	0	74660	74660	74660	77
Lobe size	26105758	2015-06-24	0	0	4919	4919	4919	4
Local histogram emphysema pattern	25006744	2014-07-09	3510	0	6104	9614	9614	19
Logical memory (delayed recall)	29274321	2017-12-20	771	0	305	1076	1076	1
Logical memory (delayed recall) in mild cognitive impairment	29274321	2017-12-20	581	0	0	581	581	2
Logical memory (delayed recall) in normal cognition	29274321	2017-12-20	0	0	305	305	305	2
Logical memory (immediate recall)	29274321	2017-12-20	771	0	305	1076	1076	1
Logical memory (immediate recall) in mild cognitive impairment	29274321	2017-12-20	581	0	0	581	581	1
Loneliness	29970889	2018-07-03	80134	364890	0	445024	262818.1424822032	12
Loneliness	31518406	2019-09-13	0	0	511280	511280	511280	19
Loneliness (MTAG)	29970889	2018-07-03	0	0	487647	487647	487647	16
Longevity	21418511	2011-03-21	403	1670	0	2073	1298.620356970574	1
Longevity	21740922	2011-06-29	0	0	1821	1821	1821	1
Longevity	26912274	2016-02-25	2178	2299	0	4477	4473.72972972973	2
Longevity	31484785	2019-09-04	0	0	482000	482000	482000	7
Longevity (85 years and older)	24688116	2014-03-31	7729	16121	0	23850	20897.141970649893	1
Longevity (90 years and older)	24688116	2014-03-31	5406	15112	0	20518	15926.59557461741	2
Longevity (90 years and older)	25199915	2014-09-08	6036	3757	0	9793	9262.63739405698	1
Longevity (age >90th survival percentile)	31413261	2019-08-14	11262	25483	0	36745	31241.207892230235	5
Longevity (age >99th survival percentile)	31413261	2019-08-14	5662	27782	0	33444	18813.740461667265	5
Longitudinal alcohol consumption	26081443	2015-06-17	0	0	2126	2126	2126	1
Longitudinal brain connectivity change (Louvain modularity)	31996736	2020-01-29	0	0	57	57	57	1
Longitudinal brain connectivity change (characteristic path length)	31996736	2020-01-29	0	0	57	57	57	1
Longitudinal brain connectivity change (global efficiency)	31996736	2020-01-29	0	0	57	57	57	3
Longitudinal brain connectivity change (transitivity)	31996736	2020-01-29	0	0	57	57	57	2
Longitudinal change in brain amyloid plaque burden	26268530	2015-08-11	335	0	160	495	495	1
Longitudinal cocaine use	31591132	2019-10-07	0	0	2231	2231	2231	1
Low HDL-cholesterol levels	31006500	2019-04-04	2873	5966	0	8839	7756.677452200475	2
Low HDL-cholesterol levels	31910446	2020-01-07	0	7423	0	7423	7423	5
Low bone mineral density (hip)	26235824	2015-08-29	2678	0	206701	209379	209379	1
Low density lipoprotein cholesterol levels	28548082	2017-05-26	0	0	3213	3213	3213	2
Low density lipoprotein cholesterol levels	29083408	2017-10-30	0	0	297824	297824	297824	24
Low density lipoprotein cholesterol levels	29403010	2018-02-05	0	0	72866	72866	72866	29
Low density lipoprotein cholesterol levels	29507422	2018-03-05	0	0	283251	283251	283251	538
Low density lipoprotein cholesterol levels	29593015	2018-09-01	0	0	1102	1102	1102	1
Low density lipoprotein cholesterol levels	30718733	2019-02-04	0	0	6949	6949	6949	7
Low density lipoprotein cholesterol levels	30911093	2019-03-25	0	0	1036	1036	1036	1
Low density lipoprotein cholesterol levels	31217584	2019-06-19	0	0	32221	32221	32221	87
Low density lipoprotein cholesterol levels	31393916	2019-08-08	0	0	11103	11103	11103	6
Low density lipoprotein cholesterol levels	31551469	2019-09-24	0	0	2045	2045	2045	1
Low high density lipoprotein cholesterol levels	26879886	2016-02-16	1747	2335	0	4082	3997.300342969133	7
Low tan response	29739929	2018-05-08	46768	74528	0	121296	114942.80121356022	79
Low urine pH	30476138	2019-04-01	35897	0	112302	148199	148199	3
Low vWF levels	26486471	2015-10-21	0	0	34921	34921	34921	5
Low white blood cell count	29596498	2018-03-29	0	0	1997	1997	1997	1
Low-grade serous and serous borderline ovarian cancer	28346442	2017-03-27	2966	40941	0	43907	11062.56460245519	7
Lp (a) levels	19124843	2009-01-07	0	0	357	357	357	1
Lp (a) levels	21900290	2011-09-06	0	0	1450	1450	1450	4
Lumbar spine bone mineral density	22504420	2012-04-15	0	0	32961	32961	32961	32
Lumbar spine bone mineral density	26367794	2015-10-01	0	0	28498	28498	28498	4
Lumbar spine bone mineral density	29499414	2018-02-27	0	0	40491	40491	40491	32
Lumbar spine bone mineral density (integral)	27476799	2016-09-06	0	0	11080	11080	11080	3
Lumbar spine bone mineral density (trabecular)	27476799	2016-09-06	0	0	12287	12287	12287	6
Lumiracoxib-related liver injury	20639878	2010-07-18	34	0	177	211	211	1
Lung adenocarcinoma	19836008	2009-10-15	5739	5848	0	11587	11585.974626736861	5
Lung adenocarcinoma	20700438	2010-08-05	584	585	0	1169	1168.9991445680068	1
Lung adenocarcinoma	20871597	2010-09-26	1004	1900	0	2904	2627.5482093663913	2
Lung adenocarcinoma	22797724	2012-07-15	1695	5333	0	7028	5144.812179852021	4
Lung adenocarcinoma	27393504	2016-05-13	739	3601	0	4340	2452.66267281106	1
Lung adenocarcinoma	28604730	2017-06-12	11273	55483	0	66756	37477.37186170532	21
Lung adenocarcinoma	31326317	2019-07-17	15581	27355	0	42936	39707.309018073414	14
Lung cancer	18385676	2008-04-03	1154	1137	0	2291	2290.8738542121346	1
Lung cancer	18385738	2008-04-03	1926	2522	0	4448	4368.140287769785	1
Lung cancer	18780872	2008-09-17	194	219	0	413	411.48668280871675	1
Lung cancer	18978787	2008-11-02	5095	5200	0	10295	10293.929091792132	3
